Hours_To_Onset,HR,Temp,Resp,O2Sat
-12,88.45398428731762,37.134006849315064,20.153279181708786,97.2542808219178
-11,88.85172037138176,37.166435786435784,20.162441724941726,97.23301781737194
-10,88.62633832976445,37.12880886426593,20.106775300171527,97.23648279628618
-9,88.7080501829587,37.13200280112045,20.165223463687152,97.182302771855
-8,88.92983367983368,37.10657935285054,20.219478357380687,97.1501860712387
-7,88.84166241713412,37.133011049723756,20.288524145415085,97.06664924202823
-6,89.21358024691358,37.10403266331659,20.410976890756302,97.05597579425114
-5,89.14896185417673,37.10435162094763,20.277218782249744,97.13690476190476
-4,89.06978922716628,37.109148936170214,20.26691729323308,97.09479015918959
-3,89.10535959688502,37.19462324393359,20.257977417771233,97.13430042115115
-2,89.25560538116592,37.14702394526796,20.381724303554275,97.03646788990825
-1,89.64148889856334,37.14172131147541,20.41647250698975,97.10152057245081
0,89.98629848229342,37.148300970873784,20.35478436657682,97.0157667386609
