Feature,Mean,Scale,Variance
HR,84.34139691615522,17.107179569504822,292.6555928232832
O2Sat,97.20990790069548,2.7642871524386994,7.641283461137654
Temp,36.87900327308743,0.6736279571183531,0.45377462461144574
SBP,123.57249821434488,22.439821851728194,503.5456047372982
MAP,82.44330685838834,15.695732064650201,246.35600504528844
DBP,63.563667800036065,12.044094217026,145.06020550859913
Resp,18.701336038201973,4.872920786943174,23.745356995822885
EtCO2,32.99532324039336,1.73840664442085,3.0220576613665595
BaseExcess,-0.056414505778527205,2.267022777673829,5.139392274491963
HCO3,24.147271353305676,2.768682893572039,7.665604965158439
FiO2,0.4497882525984044,6.647453761834946,44.18864151573357
pH,7.390405049169944,0.04379501792783067,0.00191800359529901
PaCO2,40.25614173315317,5.839747693856949,34.10265312790755
SaO2,95.94278876068172,5.683406411778121,32.301108441440654
AST,67.91691043006675,316.5449068686007,100200.67806445109
BUN,21.904007691203162,17.32404147075338,300.1224128803829
Alkalinephos,78.68759595595138,59.84997587453192,3582.0196121820527
Calcium,8.098474700764699,1.5693535872200497,2.462870681720438
Chloride,105.84246057752136,3.8192303987359564,14.586520838628811
Creatinine,1.338291625093425,1.5780892651130212,2.490365728664955
Bilirubin_direct,0.3590272689785684,0.8423601948497291,0.7095706978672737
Glucose,130.5754217091481,43.33228418412283,1877.6868526135813
Lactate,1.6697656373684224,0.8755118300902627,0.766520964628001
Magnesium,2.0322918975438955,0.3189361340300925,0.10172025759006115
Phosphate,3.478702150886017,0.9934154140398421,0.9868741848519509
Potassium,4.076628416215958,0.5235692361936677,0.27412474508842055
Bilirubin_total,1.0534016729931628,1.9657111329957624,3.864020258383484
TroponinI,0.9622226159663338,7.753739364248369,60.1204741286947
Hct,31.55792636657844,5.023561505551714,25.236170200061007
Hgb,10.558455279464232,1.7554977353889338,3.0817722989556753
PTT,33.706374052406225,14.81871591386957,219.59434133597122
WBC,11.053864535048547,6.229224041401349,38.80323215797256
Fibrinogen,265.3764859595963,52.74203016575878,2781.7217460058087
Platelets,201.6981329318984,90.81715417778456,8247.755492951492
Age,61.95849194982493,16.423319471591125,269.7254224659441
HospAdmTime,-55.0809750413278,148.16592061846532,21953.14003271737
ICULOS,26.961707822642108,28.99476337715232,840.6963032970535
